word,N,N1
migueltorrucog,"[['miguel', 0], ['migueltorrucog', 0], ['lidiapbarcenas', 5.743141667591267e-05], ['lamebotas', 6.50606921587249e-05], ['marcelo', 7.643198652129701e-05]]","[['miguel', 0], ['migueltorrucog', 0], ['lidiapbarcenas', 5.743141667580165e-05], ['lamebotas', 6.506069215850285e-05], ['marcelo', 7.643198652129701e-05]]"
mineros,"[['delgado', 0], ['mineros', 0], ['aportado', 2.220446049250313e-16], ['contribuyentes', 1.942890293094024e-14], ['aprobaron', 2.375877272697835e-14]]","[['mineros', 0], ['delgado', 1.1102230246251565e-16], ['aportado', 2.220446049250313e-16], ['contribuyentes', 1.9317880628477724e-14], ['aprobaron', 2.3647750424515834e-14]]"
morales,"[['pierdas', 0], ['morales', 1.1102230246251565e-16], ['quitó', 1.1102230246251565e-16], ['lis', 8.881784197001252e-16], ['hicieran', 8.881784197001252e-15]]","[['morales', 0], ['pierdas', 1.1102230246251565e-16], ['quitó', 1.1102230246251565e-16], ['lis', 7.771561172376096e-16], ['hicieran', 8.770761894538737e-15]]"
morder,"[['diarrea', 0], ['morder', 0], ['gorra', 4.884981308350689e-15], ['beneficia', 5.551115123125783e-15], ['rencor', 1.3433698597964394e-14]]","[['diarrea', 0], ['morder', 0], ['gorra', 4.9960036108132044e-15], ['beneficia', 5.773159728050814e-15], ['rencor', 1.3433698597964394e-14]]"
mérito,"[['marihuana', 2.220446049250313e-16], ['mérito', 2.220446049250313e-16], ['generoso', 1.5210055437364645e-14], ['pierden', 1.603162047558726e-13], ['gorda', 2.1815882433884326e-13]]","[['mérito', 0], ['marihuana', 2.220446049250313e-16], ['generoso', 1.5210055437364645e-14], ['pierden', 1.603162047558726e-13], ['gorda', 2.1815882433884326e-13]]"
nancysanchez_bc,"[['nancydelasa', 0], ['nancysanchez_bc', 0], ['niñoshéroes', 8.625001800355303e-05], ['terejimeneze', 0.00014619304610974382], ['callatepalero', 0.00023780292713293516]]","[['nancydelasa', 0], ['nancysanchez_bc', 0], ['niñoshéroes', 8.625001800355303e-05], ['terejimeneze', 0.00014619304610974382], ['callatepalero', 0.00023780292713293516]]"
narco,"[['hilo', 1.1102230246251565e-16], ['narco', 1.1102230246251565e-16], ['propaganda', 1.7763568394002505e-15], ['humilde', 2.4202861936828413e-14], ['olvidó', 2.4202861936828413e-14]]","[['narco', 0], ['hilo', 2.220446049250313e-16], ['propaganda', 1.6653345369377348e-15], ['humilde', 2.4091839634365897e-14], ['olvidó', 2.4202861936828413e-14]]"
negligencia,"[['eu', 2.220446049250313e-16], ['negligencia', 2.220446049250313e-16], ['malditas', 2.9976021664879227e-15], ['saludo', 1.9539925233402755e-14], ['mera', 5.784261958297066e-14]]","[['negligencia', 0], ['eu', 3.3306690738754696e-16], ['malditas', 2.9976021664879227e-15], ['saludo', 1.9539925233402755e-14], ['mera', 5.784261958297066e-14]]"
neoliberales,"[['neoliberal', 0], ['neoliberales', 0], ['neoliberalismo', 0], ['mueraelmalgobierno', 6.42575943273771e-05], ['narcotraficante', 0.0005990433327851541]]","[['neoliberal', 0], ['neoliberales', 0], ['neoliberalismo', 0], ['mueraelmalgobierno', 6.425759432759914e-05], ['narcotraficante', 0.0005990433327851541]]"
neoliberalismo,"[['neoliberal', 0], ['neoliberales', 0], ['neoliberalismo', 0], ['mueraelmalgobierno', 6.42575943273771e-05], ['narcotraficante', 0.0005990433327851541]]","[['neoliberal', 0], ['neoliberales', 0], ['neoliberalismo', 0], ['mueraelmalgobierno', 6.425759432759914e-05], ['narcotraficante', 0.0005990433327851541]]"
odias,"[['acusa', 0], ['odias', 2.220446049250313e-16], ['merced', 5.551115123125783e-16], ['valientes', 1.5210055437364645e-14], ['nietos', 3.275157922644212e-14]]","[['odias', 0], ['acusa', 1.1102230246251565e-16], ['merced', 6.661338147750939e-16], ['valientes', 1.5210055437364645e-14], ['nietos', 3.275157922644212e-14]]"
p1nche,"[['p1nch3', 1.1102230246251565e-16], ['p1nche', 1.1102230246251565e-16], ['pjcdmx', 2.555954659033688e-08], ['p3rr4', 5.2103494185828936e-08], ['p3nd3ja', 5.7445442624981524e-08]]","[['p1nch3', 0], ['p1nche', 0], ['pjcdmx', 2.5559546368292274e-08], ['p3rr4', 5.210349407480663e-08], ['p3nd3ja', 5.744544240293692e-08]]"
p3ndeja,"[['p3nd3ja', 1.1102230246251565e-16], ['p3ndeja', 1.1102230246251565e-16], ['p3rr4', 1.306152963564955e-10], ['p1nch3', 5.7445442624981524e-08], ['p1nche', 5.7445442624981524e-08]]","[['p3nd3ja', 0], ['p3ndeja', 0], ['p3rr4', 1.3061507431189057e-10], ['p1nch3', 5.744544240293692e-08], ['p1nche', 5.744544240293692e-08]]"
pagando,"[['aporta', 2.220446049250313e-16], ['pagando', 2.220446049250313e-16], ['inauguró', 5.551115123125783e-16], ['responda', 5.440092820663267e-15], ['pasados', 7.105427357601002e-15]]","[['pagando', 0], ['aporta', 2.220446049250313e-16], ['inauguró', 5.551115123125783e-16], ['responda', 5.440092820663267e-15], ['pasados', 7.105427357601002e-15]]"
paja,"[['enano', 0], ['paja', 1.1102230246251565e-16], ['robaste', 1.6986412276764895e-14], ['tirando', 3.019806626980426e-14], ['pides', 3.275157922644212e-14]]","[['enano', 0], ['paja', 0], ['robaste', 1.6764367671839864e-14], ['tirando', 3.008704396734174e-14], ['pides', 3.2529534621517087e-14]]"
pandilla,"[['ganaron', 0], ['pandilla', 1.1102230246251565e-16], ['orgullosos', 4.440892098500626e-16], ['termino', 3.4416913763379853e-15], ['horribles', 1.5654144647214707e-14]]","[['pandilla', 0], ['ganaron', 1.1102230246251565e-16], ['orgullosos', 4.440892098500626e-16], ['termino', 3.4416913763379853e-15], ['horribles', 1.5654144647214707e-14]]"
paniaguados,"[['paniaguada', 1.1102230246251565e-16], ['paniaguados', 1.1102230246251565e-16], ['alejandrocruyff', 0.00048252867809750466], ['impresentables', 0.0007148989934505634], ['inconclusas', 0.0011381641853698277]]","[['paniaguada', 0], ['paniaguados', 0], ['alejandrocruyff', 0.0004825286780976157], ['impresentables', 0.0007148989934505634], ['inconclusas', 0.0011381641853697166]]"
participando,"[['académica', 2.220446049250313e-16], ['participando', 2.220446049250313e-16], ['mentales', 4.218847493575595e-15], ['preocupados', 5.0737192225369654e-14], ['asesores', 1.142419492339286e-13]]","[['participando', 0], ['académica', 4.440892098500626e-16], ['mentales', 3.774758283725532e-15], ['preocupados', 5.051514762044462e-14], ['asesores', 1.142419492339286e-13]]"
pendejo,"[['candidata', 2.220446049250313e-16], ['pendejo', 2.220446049250313e-16], ['toco', 2.7755575615628914e-15], ['eligieron', 8.326672684688674e-15], ['imbéciles', 1.0436096431476471e-14]]","[['pendejo', 0], ['candidata', 3.3306690738754696e-16], ['toco', 2.9976021664879227e-15], ['eligieron', 8.43769498715119e-15], ['imbéciles', 1.0547118733938987e-14]]"
pierdas,"[['morales', 0], ['pierdas', 0], ['lis', 3.3306690738754696e-16], ['quitó', 3.3306690738754696e-16], ['hicieran', 1.0769163338864018e-14]]","[['pierdas', 0], ['morales', 1.1102230246251565e-16], ['lis', 4.440892098500626e-16], ['quitó', 4.440892098500626e-16], ['hicieran', 1.0769163338864018e-14]]"
plurinominales,"[['plurinominal', 2.220446049250313e-16], ['plurinominales', 2.220446049250313e-16], ['semáforos', 0.0011300465198192944], ['jtrianat', 0.0019024794535693612], ['mugrena', 0.002817186434318164]]","[['plurinominal', 0], ['plurinominales', 0], ['semáforos', 0.0011300465198192944], ['jtrianat', 0.0019024794535692502], ['mugrena', 0.002817186434317831]]"
pndejo,"[['pndeja', 0], ['pndejo', 0], ['pndejos', 0], ['wow', 4.1048662413611936e-07], ['kakas', 7.880665814363752e-07]]","[['pndeja', 0], ['pndejo', 0], ['pndejos', 0], ['wow', 4.1048662413611936e-07], ['kakas', 7.880665813253529e-07]]"
pndejos,"[['pndeja', 0], ['pndejo', 0], ['pndejos', 0], ['wow', 4.1048662413611936e-07], ['kakas', 7.880665814363752e-07]]","[['pndeja', 0], ['pndejo', 0], ['pndejos', 0], ['wow', 4.1048662413611936e-07], ['kakas', 7.880665813253529e-07]]"
pndjo,"[['pndja', 1.1102230246251565e-16], ['pndjo', 1.1102230246251565e-16], ['pndjos', 1.1102230246251565e-16], ['cdmx', 3.905142320625998e-09], ['cndh', 4.174814272062122e-09]]","[['pndja', 0], ['pndjo', 0], ['pndjos', 0], ['cdmx', 3.905142320625998e-09], ['cndh', 4.174814161039819e-09]]"
pndjos,"[['pndja', 1.1102230246251565e-16], ['pndjo', 1.1102230246251565e-16], ['pndjos', 1.1102230246251565e-16], ['cdmx', 3.905142320625998e-09], ['cndh', 4.174814272062122e-09]]","[['pndja', 0], ['pndjo', 0], ['pndjos', 0], ['cdmx', 3.905142320625998e-09], ['cndh', 4.174814161039819e-09]]"
ponerte,"[['decirnos', 2.220446049250313e-16], ['ponerte', 2.220446049250313e-16], ['pasara', 2.3314683517128287e-15], ['buscas', 6.439293542825908e-15], ['entregó', 9.325873406851315e-15]]","[['ponerte', 0], ['decirnos', 1.1102230246251565e-16], ['pasara', 2.3314683517128287e-15], ['buscas', 6.439293542825908e-15], ['entregó', 9.325873406851315e-15]]"
poquianchis,"[['poquianchi', 2.220446049250313e-16], ['poquianchis', 2.220446049250313e-16], ['sobrepeso', 8.393489958191669e-05], ['mauser', 0.00013290363195095356], ['_brendaespinoza', 0.00021622686316646877]]","[['poquianchi', 0], ['poquianchis', 0], ['sobrepeso', 8.393489958191669e-05], ['mauser', 0.00013290363195106458], ['_brendaespinoza', 0.00021622686316669082]]"
preocupan,"[['diariamente', 0], ['preocupan', 2.220446049250313e-16], ['maldad', 3.3306690738754696e-16], ['productiva', 3.652633751016765e-14], ['terminará', 7.904787935331115e-14]]","[['preocupan', 0], ['diariamente', 1.1102230246251565e-16], ['maldad', 4.440892098500626e-16], ['productiva', 3.652633751016765e-14], ['terminará', 7.904787935331115e-14]]"
pretenden,"[['desesperada', 1.1102230246251565e-16], ['pretenden', 1.1102230246251565e-16], ['saludos', 1.1879386363489175e-14], ['cuadra', 2.3425705819590803e-14], ['goza', 2.55351295663786e-14]]","[['pretenden', 0], ['desesperada', 1.1102230246251565e-16], ['saludos', 1.176836406102666e-14], ['cuadra', 2.3203661214665772e-14], ['goza', 2.55351295663786e-14]]"
prianrdmc,"[['prianrd', 0], ['prianrdmc', 0], ['titere', 9.761257184215388e-06], ['like', 1.2171262668614347e-05], ['marko', 1.2775829344335854e-05]]","[['prianrd', 0], ['prianrdmc', 0], ['titere', 9.761257184437433e-06], ['like', 1.2171262668836391e-05], ['marko', 1.2775829344335854e-05]]"
privilegios,"[['cuente', 2.220446049250313e-16], ['privilegios', 2.220446049250313e-16], ['alias', 1.509903313490213e-14], ['seda', 2.942091015256665e-14], ['ponerle', 7.904787935331115e-14]]","[['privilegios', 0], ['cuente', 2.220446049250313e-16], ['alias', 1.4988010832439613e-14], ['seda', 2.919886554764162e-14], ['ponerle', 7.882583474838611e-14]]"
propongo,"[['caerá', 0], ['propongo', 0], ['besos', 3.3306690738754696e-16], ['dejarás', 1.6542323066914832e-14], ['dilo', 1.8207657603852567e-14]]","[['propongo', 0], ['caerá', 2.220446049250313e-16], ['besos', 3.3306690738754696e-16], ['dejarás', 1.6542323066914832e-14], ['dilo', 1.8207657603852567e-14]]"
puros,"[['burla', 2.220446049250313e-16], ['puros', 2.220446049250313e-16], ['llevaste', 1.3877787807814457e-14], ['imbéciles', 1.5210055437364645e-14], ['eligieron', 1.7985612998927536e-14]]","[['puros', 0], ['burla', 3.3306690738754696e-16], ['llevaste', 1.4210854715202004e-14], ['imbéciles', 1.5432100042289676e-14], ['eligieron', 1.8207657603852567e-14]]"
queden,"[['mentes', 2.220446049250313e-16], ['queden', 2.220446049250313e-16], ['comunistas', 1.7763568394002505e-15], ['tontos', 2.886579864025407e-15], ['impunidad', 2.2426505097428162e-14]]","[['queden', 0], ['mentes', 4.440892098500626e-16], ['comunistas', 1.7763568394002505e-15], ['tontos', 3.1086244689504383e-15], ['impunidad', 2.2648549702353193e-14]]"
rebsamennoseolvida,"[['rebsamen', 2.220446049250313e-16], ['rebsamennoseolvida', 2.220446049250313e-16], ['nooooo', 1.5035218059455957e-07], ['gobcdmx', 2.1403200933800548e-07], ['gobiernomx', 3.097951605612881e-05]]","[['rebsamen', 0], ['rebsamennoseolvida', 0], ['nooooo', 1.5035218037251497e-07], ['gobcdmx', 2.1403200933800548e-07], ['gobiernomx', 3.097951605612881e-05]]"
recuerdan,"[['leo', 0], ['recuerdan', 2.220446049250313e-16], ['ud', 5.551115123125783e-15], ['admira', 1.4765966227514582e-14], ['ganan', 1.9761969838327786e-14]]","[['recuerdan', 0], ['leo', 1.1102230246251565e-16], ['ud', 5.773159728050814e-15], ['admira', 1.4876988529977098e-14], ['ganan', 1.9761969838327786e-14]]"
recuerden,"[['jodiendo', 0], ['recuerden', 0], ['amenazando', 2.220446049250313e-16], ['gritó', 6.328271240363392e-15], ['asesinaron', 2.0650148258027912e-14]]","[['recuerden', 0], ['jodiendo', 2.220446049250313e-16], ['amenazando', 3.3306690738754696e-16], ['gritó', 6.328271240363392e-15], ['asesinaron', 2.0650148258027912e-14]]"
reportar,"[['grita', 2.220446049250313e-16], ['reportar', 2.220446049250313e-16], ['tarda', 4.9960036108132044e-15], ['tope', 5.417888360170764e-14], ['odian', 1.2567724638756772e-13]]","[['grita', 0], ['reportar', 0], ['tarda', 5.218048215738236e-15], ['tope', 5.417888360170764e-14], ['odian', 1.2567724638756772e-13]]"
repugnante,"[['vaquero', 0], ['repugnante', 2.220446049250313e-16], ['admiración', 1.0325074129013956e-14], ['frenar', 1.0402789740737717e-13], ['felicito', 1.9828583219805296e-13]]","[['repugnante', 0], ['vaquero', 0], ['admiración', 1.0103029524088925e-14], ['frenar', 1.0402789740737717e-13], ['felicito', 1.9828583219805296e-13]]"
retire,"[['entendió', 0], ['retire', 2.220446049250313e-16], ['saluda', 3.3306690738754696e-16], ['desaparecen', 3.552713678800501e-15], ['narrativa', 4.218847493575595e-15]]","[['retire', 0], ['entendió', 1.1102230246251565e-16], ['saluda', 3.3306690738754696e-16], ['desaparecen', 3.6637359812630166e-15], ['narrativa', 4.3298697960381105e-15]]"
ricardoanayac,"[['ricardo', 1.1102230246251565e-16], ['ricardoanayac', 1.1102230246251565e-16], ['ricardobsalinas', 1.1102230246251565e-16], ['sheinbaum', 0.0002576292052934859], ['sheinbaun', 0.0002576292052934859]]","[['ricardo', 0], ['ricardoanayac', 0], ['ricardobsalinas', 0], ['sheinbaum', 0.00025762920529337485], ['sheinbaun', 0.00025762920529337485]]"
ricardobsalinas,"[['ricardo', 1.1102230246251565e-16], ['ricardoanayac', 1.1102230246251565e-16], ['ricardobsalinas', 1.1102230246251565e-16], ['sheinbaum', 0.0002576292052934859], ['sheinbaun', 0.0002576292052934859]]","[['ricardo', 0], ['ricardoanayac', 0], ['ricardobsalinas', 0], ['sheinbaum', 0.00025762920529337485], ['sheinbaun', 0.00025762920529337485]]"
ridícula,"[['acabando', 0], ['ridícula', 2.220446049250313e-16], ['pasaste', 2.6645352591003757e-15], ['drenaje', 1.2656542480726785e-14], ['ídolo', 4.8183679268731794e-14]]","[['ridícula', 0], ['acabando', 2.220446049250313e-16], ['pasaste', 2.886579864025407e-15], ['drenaje', 1.2878587085651816e-14], ['ídolo', 4.829470157119431e-14]]"
robamaridostellez,"[['robamaridos', 0], ['robamaridostellez', 0], ['vampipe', 1.351904422364214e-05], ['bancadanaranjas', 2.3855579307952013e-05], ['motomami', 5.483796703442678e-05]]","[['robamaridos', 0], ['robamaridostellez', 0], ['vampipe', 1.351904422364214e-05], ['bancadanaranjas', 2.3855579307952013e-05], ['motomami', 5.483796703442678e-05]]"
saliste,"[['felicitaciones', 2.220446049250313e-16], ['saliste', 2.220446049250313e-16], ['vergonzoso', 2.4424906541753444e-14], ['investiga', 3.8191672047105385e-14], ['tope', 4.04121180963557e-14]]","[['saliste', 0], ['felicitaciones', 4.440892098500626e-16], ['vergonzoso', 2.4424906541753444e-14], ['investiga', 3.7969627442180354e-14], ['tope', 4.04121180963557e-14]]"
saluda,"[['entendió', 0], ['saluda', 2.220446049250313e-16], ['retire', 3.3306690738754696e-16], ['desaparecen', 1.6653345369377348e-15], ['ironía', 4.884981308350689e-15]]","[['saluda', 0], ['entendió', 3.3306690738754696e-16], ['retire', 3.3306690738754696e-16], ['desaparecen', 1.6653345369377348e-15], ['ironía', 4.9960036108132044e-15]]"
seguras,"[['representando', 1.1102230246251565e-16], ['seguras', 1.1102230246251565e-16], ['aprovechando', 2.1094237467877974e-15], ['hicieras', 4.107825191113079e-15], ['promoviendo', 5.440092820663267e-15]]","[['seguras', 0], ['representando', 1.1102230246251565e-16], ['aprovechando', 2.1094237467877974e-15], ['hicieras', 4.107825191113079e-15], ['promoviendo', 5.329070518200751e-15]]"
sheinbaun,"[['sheinbaum', 0], ['sheinbaun', 0], ['ricardo', 0.0002576292052934859], ['ricardoanayac', 0.0002576292052934859], ['ricardobsalinas', 0.0002576292052934859]]","[['sheinbaum', 0], ['sheinbaun', 0], ['ricardo', 0.00025762920529337485], ['ricardoanayac', 0.00025762920529337485], ['ricardobsalinas', 0.00025762920529337485]]"
simpatía,"[['defendiendo', 0], ['simpatía', 0], ['valen', 4.440892098500626e-15], ['inventar', 9.2148511043888e-15], ['consciencia', 1.887379141862766e-14]]","[['defendiendo', 0], ['simpatía', 0], ['valen', 4.440892098500626e-15], ['inventar', 9.2148511043888e-15], ['consciencia', 1.8984813721090177e-14]]"
simulacronacional2022,"[['simulacronacional', 0], ['simulacronacional2022', 0], ['nachomierv', 0.00015913193287653282], ['ericasalinasez', 0.0003890775710140293], ['fercuevasmur', 0.0007513250992805531]]","[['simulacronacional', 0], ['simulacronacional2022', 0], ['nachomierv', 0.00015913193287653282], ['ericasalinasez', 0.0003890775710141403], ['fercuevasmur', 0.0007513250992805531]]"
sinverguenzas,"[['sinverguenza', 0], ['sinverguenzas', 0], ['lorenacuellar', 2.4807972610174645e-05], ['taniacruz_d11', 2.5227786927151108e-05], ['jorgerohe', 4.134005968625676e-05]]","[['sinverguenza', 0], ['sinverguenzas', 0], ['lorenacuellar', 2.4807972610174645e-05], ['taniacruz_d11', 2.5227786927151108e-05], ['jorgerohe', 4.1340059686145736e-05]]"
sinvergüenza,"[['argüendera', 2.220446049250313e-16], ['avergüenza', 2.220446049250313e-16], ['güey', 2.220446049250313e-16], ['sinvergüenza', 2.220446049250313e-16], ['sinvergüenzas', 2.220446049250313e-16]]","[['argüendera', 0], ['avergüenza', 0], ['güey', 0], ['sinvergüenza', 0], ['sinvergüenzas', 0]]"
sinvergüenzas,"[['argüendera', 2.220446049250313e-16], ['avergüenza', 2.220446049250313e-16], ['güey', 2.220446049250313e-16], ['sinvergüenza', 2.220446049250313e-16], ['sinvergüenzas', 2.220446049250313e-16]]","[['argüendera', 0], ['avergüenza', 0], ['güey', 0], ['sinvergüenza', 0], ['sinvergüenzas', 0]]"
sonorenses,"[['sonorense', 2.220446049250313e-16], ['sonorenses', 2.220446049250313e-16], ['molotovmx', 9.224389903428332e-05], ['https', 0.0008028818997697362], ['diversexqr', 0.000979540564369663]]","[['sonorense', 0], ['sonorenses', 0], ['molotovmx', 9.22438990341723e-05], ['https', 0.0008028818997697362], ['diversexqr', 0.000979540564369552]]"
soñando,"[['celebrando', 0], ['soñando', 0], ['caiga', 2.1094237467877974e-15], ['sacarte', 4.218847493575595e-15], ['disfraz', 7.105427357601002e-15]]","[['soñando', 0], ['celebrando', 1.1102230246251565e-16], ['caiga', 2.220446049250313e-15], ['sacarte', 4.3298697960381105e-15], ['disfraz', 7.216449660063518e-15]]"
sumar,"[['esplendor', 0], ['sumar', 2.220446049250313e-16], ['delgada', 1.2545520178264269e-14], ['mantenidos', 1.5210055437364645e-14], ['bonitos', 2.353672812205332e-14]]","[['sumar', 0], ['esplendor', 2.220446049250313e-16], ['delgada', 1.27675647831893e-14], ['mantenidos', 1.554312234475219e-14], ['bonitos', 2.375877272697835e-14]]"
telenovela,"[['equivoco', 1.1102230246251565e-16], ['telenovela', 1.1102230246251565e-16], ['sacando', 8.548717289613705e-15], ['miente', 1.3433698597964394e-14], ['debiste', 1.532107773982716e-14]]","[['telenovela', 0], ['equivoco', 1.1102230246251565e-16], ['sacando', 8.548717289613705e-15], ['miente', 1.3433698597964394e-14], ['debiste', 1.532107773982716e-14]]"
trolebuselevado,"[['trolebus', 2.220446049250313e-16], ['trolebuselevado', 2.220446049250313e-16], ['politicomx', 0.0002509783426705159], ['chochil', 0.0006666687235393765], ['mariaclementemx', 0.0007317451645902917]]","[['trolebus', 0], ['trolebuselevado', 0], ['politicomx', 0.0002509783426705159], ['chochil', 0.0006666687235393765], ['mariaclementemx', 0.0007317451645901807]]"
trío,"[['publique', 2.220446049250313e-16], ['trío', 2.220446049250313e-16], ['cubana', 9.2148511043888e-15], ['agradece', 1.63202784619898e-14], ['ilusiones', 5.2513549064769904e-14]]","[['publique', 0], ['trío', 0], ['cubana', 8.992806499463768e-15], ['agradece', 1.609823385706477e-14], ['ilusiones', 5.229150445984487e-14]]"
tweet_stamp,"[['tweet', 2.220446049250313e-16], ['tweet_stamp', 2.220446049250313e-16], ['tweets', 2.220446049250313e-16], ['esunhonorestarconobrador', 5.882316500560592e-07], ['titere', 4.381668745168099e-06]]","[['tweet', 0], ['tweet_stamp', 0], ['tweets', 0], ['esunhonorestarconobrador', 5.882316500560592e-07], ['titere', 4.3816687449460545e-06]]"
tweets,"[['tweet', 2.220446049250313e-16], ['tweet_stamp', 2.220446049250313e-16], ['tweets', 2.220446049250313e-16], ['esunhonorestarconobrador', 5.882316500560592e-07], ['titere', 4.381668745168099e-06]]","[['tweet', 0], ['tweet_stamp', 0], ['tweets', 0], ['esunhonorestarconobrador', 5.882316500560592e-07], ['titere', 4.3816687449460545e-06]]"
twittear,"[['twitt', 0], ['twittear', 0], ['corcholata', 1.1695267843059298e-07], ['corcholatas', 1.1695267843059298e-07], ['establo', 9.370196562774602e-06]]","[['twitt', 0], ['twittear', 0], ['corcholata', 1.1695267843059298e-07], ['corcholatas', 1.1695267843059298e-07], ['establo', 9.370196562774602e-06]]"
twitterseguro,"[['twitter', 2.220446049250313e-16], ['twitterseguro', 2.220446049250313e-16], ['pejelagarto', 9.263988365315612e-07], ['grupofirme', 2.3668100728180264e-05], ['twits', 5.7277514322939815e-05]]","[['twitter', 0], ['twitterseguro', 0], ['pejelagarto', 9.263988365315612e-07], ['grupofirme', 2.3668100728180264e-05], ['twits', 5.7277514322939815e-05]]"
vaquero,"[['repugnante', 0], ['vaquero', 2.220446049250313e-16], ['admiración', 1.1657341758564144e-14], ['frenar', 1.0835776720341528e-13], ['felicito', 1.9251267247000214e-13]]","[['repugnante', 0], ['vaquero', 0], ['admiración', 1.1657341758564144e-14], ['frenar', 1.0835776720341528e-13], ['felicito', 1.9229062786507711e-13]]"
vendiendo,"[['agregar', 2.220446049250313e-16], ['vendiendo', 2.220446049250313e-16], ['congreso', 1.6653345369377348e-15], ['apoyando', 8.659739592076221e-15], ['bancarias', 1.7208456881689926e-14]]","[['vendiendo', 0], ['agregar', 4.440892098500626e-16], ['congreso', 1.6653345369377348e-15], ['apoyando', 8.43769498715119e-15], ['bancarias', 1.6986412276764895e-14]]"
veracruzana,"[['veracruz', 2.220446049250313e-16], ['veracruzana', 2.220446049250313e-16], ['antonioattolini', 3.054349464581829e-05], ['desquiciada', 0.00015560553672722133], ['desquite', 0.0003449653611071746]]","[['veracruz', 0], ['veracruzana', 0], ['antonioattolini', 3.054349464581829e-05], ['desquiciada', 0.00015560553672744337], ['desquite', 0.0003449653611068415]]"
verga,"[['cansados', 0], ['verga', 0], ['paguen', 8.881784197001252e-16], ['chance', 9.43689570931383e-15], ['pasarán', 2.120525977034049e-14]]","[['verga', 0], ['cansados', 3.3306690738754696e-16], ['paguen', 8.881784197001252e-16], ['chance', 9.547918011776346e-15], ['pasarán', 2.120525977034049e-14]]"
vergüenza,"[['argüendera', 2.220446049250313e-16], ['avergüenza', 2.220446049250313e-16], ['güey', 2.220446049250313e-16], ['sinvergüenza', 2.220446049250313e-16], ['sinvergüenzas', 2.220446049250313e-16]]","[['argüendera', 0], ['avergüenza', 0], ['güey', 0], ['sinvergüenza', 0], ['sinvergüenzas', 0]]"
vergüenzas,"[['argüendera', 2.220446049250313e-16], ['avergüenza', 2.220446049250313e-16], ['güey', 2.220446049250313e-16], ['sinvergüenza', 2.220446049250313e-16], ['sinvergüenzas', 2.220446049250313e-16]]","[['argüendera', 0], ['avergüenza', 0], ['güey', 0], ['sinvergüenza', 0], ['sinvergüenzas', 0]]"
vicentefoxque,"[['vicente', 2.220446049250313e-16], ['vicentefoxque', 2.220446049250313e-16], ['traidora_a_la_patria', 1.2313085924420264e-05], ['opinando', 0.00010093544226641438], ['maroma', 0.0003926494093077215]]","[['vicente', 0], ['vicentefoxque', 0], ['traidora_a_la_patria', 1.2313085924420264e-05], ['opinando', 0.00010093544226641438], ['maroma', 0.0003926494093074995]]"
violenta,"[['terminaron', 0], ['violenta', 0], ['date', 1.4099832412739488e-14], ['gota', 2.298161660974074e-14], ['maletas', 2.986499936241671e-14]]","[['violenta', 0], ['terminaron', 2.220446049250313e-16], ['date', 1.4210854715202004e-14], ['gota', 2.298161660974074e-14], ['maletas', 2.986499936241671e-14]]"
violentas,"[['valga', 0], ['violentas', 0], ['ojalá', 6.661338147750939e-16], ['cansan', 2.042810365310288e-14], ['derrotados', 4.030109579389318e-14]]","[['violentas', 0], ['valga', 2.220446049250313e-16], ['ojalá', 6.661338147750939e-16], ['cansan', 2.042810365310288e-14], ['derrotados', 4.0745185003743245e-14]]"
vs,"[['empiezas', 0], ['vs', 2.220446049250313e-16], ['explique', 6.994405055138486e-15], ['fallas', 7.882583474838611e-15], ['fiscalía', 7.993605777301127e-15]]","[['vs', 0], ['empiezas', 2.220446049250313e-16], ['explique', 7.216449660063518e-15], ['fallas', 8.104628079763643e-15], ['fiscalía', 8.104628079763643e-15]]"
xochilt,"[['xochil', 2.220446049250313e-16], ['xochilt', 2.220446049250313e-16], ['xochitl', 4.659078672419881e-06], ['xochitlgalvez', 4.659078672419881e-06], ['noticiasvicky', 8.276033369991609e-05]]","[['xochil', 0], ['xochilt', 0], ['xochitl', 4.659078672419881e-06], ['xochitlgalvez', 4.659078672419881e-06], ['noticiasvicky', 8.276033370002711e-05]]"
xochitlgalvez,"[['xochitl', 2.220446049250313e-16], ['xochitlgalvez', 2.220446049250313e-16], ['xochil', 4.659078672419881e-06], ['xochilt', 4.659078672419881e-06], ['trunca', 5.34810213170811e-05]]","[['xochitl', 0], ['xochitlgalvez', 0], ['xochil', 4.659078672419881e-06], ['xochilt', 4.659078672419881e-06], ['trunca', 5.34810213170811e-05]]"
