word,N,N1
demagogos,"[['demagoga', 2.220446049250313e-16], ['demagogia', 2.220446049250313e-16], ['demagogos', 2.220446049250313e-16], ['prosoccdmx', 6.0557896474966455e-05], ['frutsi', 6.791715104792484e-05]]","[['demagoga', 0], ['demagogia', 0], ['demagogos', 0], ['prosoccdmx', 6.0557896474966455e-05], ['frutsi', 6.791715104792484e-05]]"
desperdicio,"[['invento', 1.1102230246251565e-16], ['desperdicio', 2.220446049250313e-16], ['hara', 3.3306690738754696e-16], ['cuestionar', 7.771561172376096e-16], ['caros', 3.1086244689504383e-15]]","[['desperdicio', 0], ['hara', 3.3306690738754696e-16], ['invento', 3.3306690738754696e-16], ['cuestionar', 9.992007221626409e-16], ['caros', 3.1086244689504383e-15]]"
diariamente,"[['preocupan', 0], ['diariamente', 1.1102230246251565e-16], ['maldad', 1.1102230246251565e-16], ['productiva', 4.0523140398818214e-14], ['terminará', 7.349676423018536e-14]]","[['diariamente', 0], ['maldad', 1.1102230246251565e-16], ['preocupan', 1.1102230246251565e-16], ['productiva', 4.04121180963557e-14], ['terminará', 7.338574192772285e-14]]"
eligieron,"[['imbéciles', 0], ['eligieron', 2.220446049250313e-16], ['llevaste', 2.220446049250313e-16], ['pendejo', 8.326672684688674e-15], ['candidata', 1.1657341758564144e-14]]","[['eligieron', 0], ['imbéciles', 2.220446049250313e-16], ['llevaste', 3.3306690738754696e-16], ['pendejo', 8.43769498715119e-15], ['candidata', 1.1657341758564144e-14]]"
elpeorpresidentedelahistoria,"[['elpeorgobiernodelahistoria', 1.1102230246251565e-16], ['elpeorpresidentedelahistoria', 1.1102230246251565e-16], ['denigrante', 0.00023330416888511785], ['antonioattolini', 0.0002926203789734849], ['desquiciada', 0.0003838882677666966]]","[['elpeorgobiernodelahistoria', 0], ['elpeorpresidentedelahistoria', 0], ['denigrante', 0.00023330416888511785], ['antonioattolini', 0.00029262037897370696], ['desquiciada', 0.0003838882677665856]]"
emergencias,"[['atendiendo', 2.220446049250313e-16], ['emergencias', 2.220446049250313e-16], ['transformar', 1.5543122344752192e-15], ['puentes', 3.885780586188048e-15], ['pais', 5.440092820663267e-15]]","[['emergencias', 0], ['atendiendo', 4.440892098500626e-16], ['transformar', 1.3322676295501878e-15], ['puentes', 3.6637359812630166e-15], ['pais', 5.440092820663267e-15]]"
epigmenioibarra,"[['epigmenio', 0], ['epigmenioibarra', 0], ['derechangos', 0.00010315385495351936], ['chairiza', 0.0002759514737276092], ['sororidad', 0.00043877689550941845]]","[['epigmenio', 0], ['epigmenioibarra', 0], ['derechangos', 0.00010315385495329732], ['chairiza', 0.0002759514737274982], ['sororidad', 0.00043877689550941845]]"
escuchamos,"[['burro', 0], ['escuchamos', 0], ['merecido', 1.7208456881689926e-14], ['todavia', 2.6201263381153694e-14], ['sustento', 8.892886427247504e-14]]","[['escuchamos', 0], ['burro', 2.220446049250313e-16], ['merecido', 1.7208456881689926e-14], ['todavia', 2.6423307986078726e-14], ['sustento', 8.892886427247504e-14]]"
fideicomisos,"[['fideicomiso', 2.220446049250313e-16], ['fideicomisos', 2.220446049250313e-16], ['geraldineponcem', 0.0009598042787054561], ['bipolar', 0.0009946769523176968], ['tigresdelnorte', 0.0010818185683687531]]","[['fideicomiso', 0], ['fideicomisos', 0], ['geraldineponcem', 0.0009598042787056782], ['bipolar', 0.0009946769523176968], ['tigresdelnorte', 0.0010818185683687531]]"
fiscalía,"[['amamos', 0], ['explique', 0], ['fiscalía', 2.220446049250313e-16], ['vs', 7.993605777301127e-15], ['empiezas', 1.021405182655144e-14]]","[['amamos', 0], ['fiscalía', 0], ['explique', 2.220446049250313e-16], ['vs', 8.104628079763643e-15], ['empiezas', 1.0436096431476471e-14]]"
